time,H1,L1
1420878138.3955278,-1.2067883314619026e-22,3.8482895844524025e-22
1420878138.395772,1.7531318783038178e-22,-4.140445070108121e-22
1420878138.3960161,2.995786637415841e-22,4.0690101658587265e-22
1420878138.3962603,-1.6829355962838722e-22,-5.145870399731532e-22
1420878138.3965044,-3.580692630297989e-22,2.83286073702513e-22
1420878138.3967485,-1.4812538414873456e-22,-2.157203776998937e-22
1420878138.3969927,-6.695059046063607e-24,1.6415359192357395e-22
1420878138.3972368,-9.950889520216962e-23,3.1103316050231046e-22
1420878138.397481,-2.246299161412789e-22,-1.130454361558415e-22
1420878138.397725,-1.1553861962853847e-22,2.4315480369500525e-23
1420878138.3979692,-3.1810327219691095e-22,-3.5157034017777475e-23
1420878138.3982134,-1.3585142064699896e-22,1.7939744519661232e-22
1420878138.3984575,-1.9560134629323283e-22,-3.90309982523505e-22
1420878138.3987017,-6.639632960203074e-23,-2.4896921567139963e-22
